Vnominal  = 13.2791
BusSE     = 1
		
        Bus             PD     QD       QC
         1               0      0         0  
         4      	    2000	 1600         0	
         5 	     	    3000	 1500      1100	
         6 	     	    2000	  800      1200	
         7       	    1500	 1200         0	
         8       	    4000	 2700         0	
         9 	     	    5000	 3000      1200	
        10 	     	    1000	  900         0	
        11 	     	     600	  100       600	
        12 	     	    4500	 2000      3700	
        13 	     	    1000	  900         0	
        14 	     	    1000	  700      1800	
        15 	    	    1000	  900         0	
        16 	          2100	 1000      1800	


 
       Send    Recv  line         R   		                        X   	        
         1       4    11    0.13225000000000001000        0.17633333333333334000
         4       5    12    0.14106666666666667000        0.19396666666666668000
         4       6    13    0.15870000000000001000        0.31740000000000002000
         6       7    14    0.07053333333333333700        0.07053333333333333700
         1       8    16    0.19396666666666668000        0.19396666666666668000
         8      10    17    0.19396666666666668000        0.19396666666666668000 
         8       9    18    0.14106666666666667000        0.19396666666666668000
         9      11    19    0.19396666666666668000        0.19396666666666668000
         9      12    20    0.14106666666666667000        0.19396666666666668000
         1      13    22    0.19396666666666668000        0.19396666666666668000
        13      15    23    0.14106666666666667000        0.19396666666666668000
        13      14    24    0.15870000000000001000        0.21160000000000001000
        15      16    25    0.07053333333333333700        0.07053333333333333700
       
         5      11    15    0.07053333333333333700        0.07053333333333333700
        10      14    21    0.07053333333333333700        0.07053333333333333700
         7      16    26    0.15870000000000001000        0.21160000000000001000

	
