      
Vnominal  = 12.66;
BusSE = 1;
		

        bus     PD         QD       QC
          1      0          0        0
          2    100         60        0
          3     90         40        0
          4    120         80        0
          5     60         30        0
          6     60         20        0
          7    200        100        0
          8    200        100        0
          9     60         20        0
         10     60         20        0
         11     45         30        0
         12     60         35        0
         13     60         35        0
         14    120         80        0
         15     60         10        0
         16     60         20        0
         17     60         20        0
         18     90         40        0
         19     90         40        0
         20     90         40        0
         21     90         40        0
         22     90         40        0
         23     90         50        0
         24    420        200        0
         25    420        200        0
         26     60         25        0
         27     60         25        0
         28     60         20        0
         29    120         70        0
         30    200        600        0
         31    150         70        0
         32    210        100        0
         33     60         40        0 
         
      
         env   rec  line        R                X   
          1      2    1      0.09220         0.04700 
          2      3    2      0.49300         0.25110 
          3      4    3      0.36600         0.18640 
          4      5    4      0.38110         0.19410 
          5      6    5      0.81900         0.70700 
          6      7    6      0.18720         0.61880 
          7      8    7      0.71140         0.23510 
          8      9    8      1.03000         0.74000 
          9     10    9      1.04400         0.74000 
         10     11   10      0.19660         0.06500 
         11     12   11      0.37440         0.12380 
         12     13   12      1.46800         1.15500 
         13     14   13      0.54160         0.71290 
         14     15   14      0.59100         0.52600 
         15     16   15      0.74630         0.54500 
         16     17   16      1.28900         1.72100 
         17     18   17      0.73200         0.57400 
          2     19   18      0.16400         0.15650 
         19     20   19      1.50420         1.35540 
         20     21   20      0.40950         0.47840 
         21     22   21      0.70890         0.93730 
          3     23   22      0.45120         0.30830 
         23     24   23      0.89800         0.70910 
         24     25   24      0.89600         0.70110 
          6     26   25      0.20300         0.10340 
         26     27   26      0.28420         0.14470 
         27     28   27      1.05900         0.93370 
         28     29   28      0.80420         0.70060 
         29     30   29      0.50750         0.25850 
         30     31   30      0.97440         0.96300 
         31     32   31      0.31050         0.36190 
         32     33   32      0.34100         0.53020 
         
          8     21   33      2.00000         2.00000 
          9     15   34      2.00000         2.00000 
         12     22   35      2.00000         2.00000 
         18     33   36      0.50000         0.50000 
         25     29   37      0.50000         0.50000 
