
Vnominal = 13.8
BusSE    = 0

          
         Bus            PD        QD           QC  
          0          0.0000     0.0000       0.0000
          1          0.0000     0.0000       0.0000
          2         47.7800    19.0090       0.0000
          3         42.5510    16.9290       0.0000
          4         87.0220    34.6220       0.0000
          5        311.3100   123.8550       0.0000
          6        148.8690    59.2280       0.0000
          7        238.6720    94.9560       0.0000
          9         62.2990    24.7860       0.0000
         10        124.5980    49.5710       0.0000
         12        140.1750    55.7680       0.0000
         13        116.8130    46.4740       0.0000
         15        249.2030    99.1450       0.0000
         17        291.4470   115.9520       0.0000
         18        303.7200   120.8350       0.0000
         20        215.3960    85.6950       0.0000
         21        198.5860    79.0070       0.0000
         24          0.0000     0.0000       0.0000
         25          0.0000     0.0000       0.0000
         26          0.0000     0.0000       0.0000
         27         30.1270    14.7290       0.0000
         28        230.9720   112.9200       0.0000
         29         60.2560    29.4580       0.0000
         30        230.9720   112.9200       0.0000
         32        120.5070    58.9150       0.0000
         33          0.0000     0.0000       0.0000
         34         56.9810    27.8570       0.0000
         35        364.6650   178.2810       0.0000
         36          0.0000     0.0000       0.0000
         37        124.6470    60.9390       0.0000
         38         56.9810    27.8570       0.0000
         39          0.0000     0.0000       0.0000
         40         85.4730    41.7870       0.0000
         41          0.0000     0.0000       0.0000
         42        396.7350   193.9600       0.0000
         43          0.0000     0.0000       0.0000
         44        181.1520    88.5630       0.0000
         45        242.1720   118.3950       0.0000
         46         75.3160    36.8210       0.0000
         48          0.0000     0.0000       0.0000
         49          1.2540     0.5310       0.0000
         50          6.2740     2.6600       0.0000
         51          0.0000     0.0000       0.0000
         52        117.8800    49.9710       0.0000
         53         62.6680    26.5660       0.0000
         54        172.2850    73.0340       0.0000
         55        458.5560   194.3880       0.0000
         56        262.9620   111.4730       0.0000
         57        235.7610    99.9420       0.0000
         58          0.0000     0.0000       0.0000
         59        109.2150    46.2980       0.0000
         61          0.0000     0.0000       0.0000
         62         72.8090    30.8650       0.0000
         63        258.4730   109.5700       0.0000
         64         69.1690    29.3220       0.0000
         65         21.8430     9.2600       0.0000
         67          0.0000     0.0000       0.0000
         68         20.5270     8.7020       0.0000
         69        150.5480    63.8190       0.0000
         70        220.6870    93.5520       0.0000
         71         92.3840    39.1630       0.0000
         72          0.0000     0.0000       0.0000
         73        226.6930    96.0980       0.0000
         75          0.0000     0.0000       0.0000
         76        294.0160   116.9740       0.0000
         77         83.0150    33.0280       0.0000
         78         83.0150    33.0280       0.0000
         80        103.7700    41.2850       0.0000
         81        176.4080    70.1840       0.0000
         82         83.0150    33.0280       0.0000
         83        217.9170    86.6980       0.0000
         84         23.2940     9.2670       0.0000
         85          5.0750     2.0190       0.0000
         86         72.6380    28.8990       0.0000
         87        405.9900   161.5230       0.0000
        121          0.0000     0.0000       0.0000
        122        100.1820    42.4680       0.0000
        123        142.5230    60.4170       0.0000
        124         96.0420    40.7130       0.0000
        125        300.4540   127.3660       0.0000
        127        141.2380    59.8730       0.0000
        128        279.8470   118.6310       0.0000
        129         87.3120    37.0130       0.0000
        130        243.8490   103.3710       0.0000
        131        247.7500   105.0250       0.0000
        133          0.0000     0.0000       0.0000
        134         89.8780    38.1010       0.0000
        135       1137.2800   482.1080       0.0000
        136        458.3390   194.2960       0.0000
        137        385.1970   163.2900       0.0000
        138          0.0000     0.0000       0.0000
        139         79.6080    33.7470       0.0000
        141         87.3120    37.0130       0.0000
        142          0.0000     0.0000       0.0000
