param Vnom := 10;
param Barra_SE := 0;



         Bus         PD         QD           QC   
          0      0.0000     0.0000       0.0000
          1      0.1000     0.0000       0.0000
          2    122.0000    59.0000       0.0000
          3      0.1000     0.0000       0.0000
          4      0.1000     0.0000       0.0000
          5    114.0000    55.0000       0.0000
          6     51.0000    25.0000       0.0000
          7     83.0000    40.0000       0.0000
          8      0.1000     0.0000       0.0000
          9    122.0000    59.0000       0.0000
         10    122.0000    59.0000       0.0000
         11     77.0000    37.0000       0.0000
         12      0.1000     0.0000       0.0000
         13     68.0000    33.0000       0.0000
         14     71.0000    34.0000       0.0000
         15      0.1000     0.0000       0.0000
         16      0.1000     0.0000       0.0000
         17     77.0000    37.0000       0.0000
         18     30.0000    14.0000       0.0000
         19     13.0000     6.0000       0.0000
         20      1.0000     0.0000       0.0000
         21    194.0000    94.0000       0.0000
         22     77.0000    37.0000       0.0000
         23     77.0000    37.0000       0.0000
         24     77.0000    37.0000       0.0000
         25    122.0000    59.0000       0.0000
         26    104.0000    51.0000       0.0000
         27      0.1000     0.0000       0.0000
         28     77.0000    37.0000       0.0000
         29    243.0000   118.0000       0.0000
         30     77.0000    37.0000       0.0000
         31     77.0000    37.0000       0.0000
         32      0.1000     0.0000       0.0000
         33    121.0000    58.0000       0.0000
         34    194.0000    94.0000       0.0000
         35    122.0000    59.0000       0.0000
         36     77.0000    37.0000       0.0000
         37      0.1000     0.0000       0.0000
         38      0.1000     0.0000       0.0000
         39     96.0000    47.0000       0.0000
         40    122.0000    59.0000       0.0000
         41     70.0000    34.0000       0.0000
         42     58.0000    28.0000       0.0000
         43      0.1000     0.0000       0.0000
         44    122.0000    59.0000       0.0000
         45    122.0000    59.0000       0.0000
         46    122.0000    59.0000       0.0000
         47     86.0000    42.0000       0.0000
         48     77.0000    37.0000       0.0000
         49      0.1000     0.0000       0.0000
         50    122.0000    59.0000       0.0000
         51    122.0000    59.0000       0.0000
         52    122.0000    59.0000       0.0000
         53      0.1000     0.0000       0.0000
         54     42.0000    20.0000       0.0000
